CAS number,identifier,MatterAttributeEmbedding,MatterAttribute
molecular weight,ratio,MatterAttributeEmbedding,MatterAttribute
chemical name,name,MatterAttributeEmbedding,MatterAttribute
lot number,batch number,MatterAttributeEmbedding,MatterAttribute
solubility concentration,concentration,MatterAttributeEmbedding,MatterAttribute
product code,identifier,MatterAttributeEmbedding,MatterAttribute
purity ratio,ratio,MatterAttributeEmbedding,MatterAttribute
trade name,name,MatterAttributeEmbedding,MatterAttribute
production date,batch number,MatterAttributeEmbedding,MatterAttribute
viscosity concentration,concentration,MatterAttributeEmbedding,MatterAttribute
SKU number,identifier,MatterAttributeEmbedding,MatterAttribute
density ratio,ratio,MatterAttributeEmbedding,MatterAttribute
scientific name,name,MatterAttributeEmbedding,MatterAttribute
serial number,batch number,MatterAttributeEmbedding,MatterAttribute
active ingredient concentration,concentration,MatterAttributeEmbedding,MatterAttribute
registration number,identifier,MatterAttributeEmbedding,MatterAttribute
boiling point ratio,ratio,MatterAttributeEmbedding,MatterAttribute
brand name,name,MatterAttributeEmbedding,MatterAttribute
expiry date,batch number,MatterAttributeEmbedding,MatterAttribute
acidity concentration,concentration,MatterAttributeEmbedding,MatterAttribute
formula code,identifier,MatterAttributeEmbedding,MatterAttribute
melting point ratio,ratio,MatterAttributeEmbedding,MatterAttribute
generic name,name,MatterAttributeEmbedding,MatterAttribute
batch code,batch number,MatterAttributeEmbedding,MatterAttribute
alcohol concentration,concentration,MatterAttributeEmbedding,MatterAttribute
patent number,identifier,MatterAttributeEmbedding,MatterAttribute
solvent ratio,ratio,MatterAttributeEmbedding,MatterAttribute
proprietary name,name,MatterAttributeEmbedding,MatterAttribute
manufacture date,batch number,MatterAttributeEmbedding,MatterAttribute
drug concentration,concentration,MatterAttributeEmbedding,MatterAttribute
EINECS number,identifier,MatterAttributeEmbedding,MatterAttribute
partition coefficient ratio,ratio,MatterAttributeEmbedding,MatterAttribute
synonym name,name,MatterAttributeEmbedding,MatterAttribute
revision number,batch number,MatterAttributeEmbedding,MatterAttribute
nitrate concentration,concentration,MatterAttributeEmbedding,MatterAttribute
material type,name,MatterAttributeEmbedding,MatterAttribute
electrode configuration,name,MatterAttributeEmbedding,MatterAttribute
battery type,name,MatterAttributeEmbedding,MatterAttribute
cathode material,name,MatterAttributeEmbedding,MatterAttribute
anode material,name,MatterAttributeEmbedding,MatterAttribute
photovoltaic technology type,name,MatterAttributeEmbedding,MatterAttribute
electrolyte type,name,MatterAttributeEmbedding,MatterAttribute
cell architecture,name,MatterAttributeEmbedding,MatterAttribute
semiconductor material,name,MatterAttributeEmbedding,MatterAttribute
fuel cell type,name,MatterAttributeEmbedding,MatterAttribute
superconductor material,name,MatterAttributeEmbedding,MatterAttribute
energy storage technology,name,MatterAttributeEmbedding,MatterAttribute
solar cell material,name,MatterAttributeEmbedding,MatterAttribute
thermoelectric material,name,MatterAttributeEmbedding,MatterAttribute
hybrid device configuration,name,MatterAttributeEmbedding,MatterAttribute
catalyst type,name,MatterAttributeEmbedding,MatterAttribute
material product code,identifier,MatterAttributeEmbedding,MatterAttribute
panel serial number,batch number,MatterAttributeEmbedding,MatterAttribute
energy converter type,name,MatterAttributeEmbedding,MatterAttribute
chemical storage form,name,MatterAttributeEmbedding,MatterAttribute
production lot number,batch number,MatterAttributeEmbedding,MatterAttribute
reactor design,name,MatterAttributeEmbedding,MatterAttribute
nanoparticle composition,name,MatterAttributeEmbedding,MatterAttribute
absorber material,name,MatterAttributeEmbedding,MatterAttribute
storage cell identifier,identifier,MatterAttributeEmbedding,MatterAttribute
energy cell lot number,batch number,MatterAttributeEmbedding,MatterAttribute
electrochemical system type,name,MatterAttributeEmbedding,MatterAttribute
material SKU number,identifier,MatterAttributeEmbedding,MatterAttribute
conversion technology name,name,MatterAttributeEmbedding,MatterAttribute
collector material,name,MatterAttributeEmbedding,MatterAttribute
insulation material,name,MatterAttributeEmbedding,MatterAttribute
conversion efficiency data,name,MatterAttributeEmbedding,MatterAttribute
component serial number,batch number,MatterAttributeEmbedding,MatterAttribute
device configuration,name,MatterAttributeEmbedding,MatterAttribute
product batch code,batch number,MatterAttributeEmbedding,MatterAttribute