temperature,name,ParameterAttributeEmbedding,ParameterAttribute
298,value,ParameterAttributeEmbedding,ParameterAttribute
Kelvin,unit,ParameterAttributeEmbedding,ParameterAttribute
±0.2,error,ParameterAttributeEmbedding,ParameterAttribute
298.15,average,ParameterAttributeEmbedding,ParameterAttribute
0.3,std,ParameterAttributeEmbedding,ParameterAttribute
current density,name,ParameterAttributeEmbedding,ParameterAttribute
150,value,ParameterAttributeEmbedding,ParameterAttribute
A/m²,unit,ParameterAttributeEmbedding,ParameterAttribute
±2,error,ParameterAttributeEmbedding,ParameterAttribute
148,average,ParameterAttributeEmbedding,ParameterAttribute
1.5,std,ParameterAttributeEmbedding,ParameterAttribute
voltage,name,ParameterAttributeEmbedding,ParameterAttribute
3.7,value,ParameterAttributeEmbedding,ParameterAttribute
Volts,unit,ParameterAttributeEmbedding,ParameterAttribute
±0.01,error,ParameterAttributeEmbedding,ParameterAttribute
3.72,average,ParameterAttributeEmbedding,ParameterAttribute
0.02,std,ParameterAttributeEmbedding,ParameterAttribute
efficiency,name,ParameterAttributeEmbedding,ParameterAttribute
22.5,value,ParameterAttributeEmbedding,ParameterAttribute
% (percent),unit,ParameterAttributeEmbedding,ParameterAttribute
±0.5,error,ParameterAttributeEmbedding,ParameterAttribute
22.0,average,ParameterAttributeEmbedding,ParameterAttribute
0.7,std,ParameterAttributeEmbedding,ParameterAttribute
band gap,name,ParameterAttributeEmbedding,ParameterAttribute
1.4,value,ParameterAttributeEmbedding,ParameterAttribute
eV (electronvolts),unit,ParameterAttributeEmbedding,ParameterAttribute
±0.05,error,ParameterAttributeEmbedding,ParameterAttribute
1.38,average,ParameterAttributeEmbedding,ParameterAttribute
0.04,std,ParameterAttributeEmbedding,ParameterAttribute
thickness,name,ParameterAttributeEmbedding,ParameterAttribute
0.8,value,ParameterAttributeEmbedding,ParameterAttribute
mm (millimeters),unit,ParameterAttributeEmbedding,ParameterAttribute
±0.01,error,ParameterAttributeEmbedding,ParameterAttribute
0.79,average,ParameterAttributeEmbedding,ParameterAttribute
0.02,std,ParameterAttributeEmbedding,ParameterAttribute
charge capacity,name,ParameterAttributeEmbedding,ParameterAttribute
3200,value,ParameterAttributeEmbedding,ParameterAttribute
mAh (milliamp hours),unit,ParameterAttributeEmbedding,ParameterAttribute
±50,error,ParameterAttributeEmbedding,ParameterAttribute
3150,average,ParameterAttributeEmbedding,ParameterAttribute
48,std,ParameterAttributeEmbedding,ParameterAttribute
cycle life,name,ParameterAttributeEmbedding,ParameterAttribute
1000,value,ParameterAttributeEmbedding,ParameterAttribute
cycles,unit,ParameterAttributeEmbedding,ParameterAttribute
±20,error,ParameterAttributeEmbedding,ParameterAttribute
980,average,ParameterAttributeEmbedding,ParameterAttribute
30,std,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature,name,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature value,value,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature unit,unit,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature error,error,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature average,average,ParameterAttributeEmbedding,ParameterAttribute
reaction temperature std,std,ParameterAttributeEmbedding,ParameterAttribute
pressure setting,name,ParameterAttributeEmbedding,ParameterAttribute
pressure setting value,value,ParameterAttributeEmbedding,ParameterAttribute
pressure unit,unit,ParameterAttributeEmbedding,ParameterAttribute
pressure measurement error,error,ParameterAttributeEmbedding,ParameterAttribute
pressure average,average,ParameterAttributeEmbedding,ParameterAttribute
pressure variability,std,ParameterAttributeEmbedding,ParameterAttribute
feed rate,name,ParameterAttributeEmbedding,ParameterAttribute
feed rate value,value,ParameterAttributeEmbedding,ParameterAttribute
flow rate unit,unit,ParameterAttributeEmbedding,ParameterAttribute
feed rate error,error,ParameterAttributeEmbedding,ParameterAttribute
feed rate average,average,ParameterAttributeEmbedding,ParameterAttribute
feed rate std,std,ParameterAttributeEmbedding,ParameterAttribute
mixing speed,name,ParameterAttributeEmbedding,ParameterAttribute
mixing speed value,value,ParameterAttributeEmbedding,ParameterAttribute
rotation speed unit,unit,ParameterAttributeEmbedding,ParameterAttribute
mixing speed error,error,ParameterAttributeEmbedding,ParameterAttribute
mixing speed average,average,ParameterAttributeEmbedding,ParameterAttribute
mixing speed std,std,ParameterAttributeEmbedding,ParameterAttribute
curing time,name,ParameterAttributeEmbedding,ParameterAttribute
curing time value,value,ParameterAttributeEmbedding,ParameterAttribute
curing time unit,unit,ParameterAttributeEmbedding,ParameterAttribute
curing time error,error,ParameterAttributeEmbedding,ParameterAttribute
curing time average,average,ParameterAttributeEmbedding,ParameterAttribute
curing time std,std,ParameterAttributeEmbedding,ParameterAttribute
ambient humidity,name,ParameterAttributeEmbedding,ParameterAttribute
ambient humidity value,value,ParameterAttributeEmbedding,ParameterAttribute
humidity level unit,unit,ParameterAttributeEmbedding,ParameterAttribute
humidity error,error,ParameterAttributeEmbedding,ParameterAttribute
ambient humidity average,average,ParameterAttributeEmbedding,ParameterAttribute
ambient humidity std,std,ParameterAttributeEmbedding,ParameterAttribute
chemical dosage,name,ParameterAttributeEmbedding,ParameterAttribute
chemical dosage value,value,ParameterAttributeEmbedding,ParameterAttribute
dosage unit,unit,ParameterAttributeEmbedding,ParameterAttribute
dosage error,error,ParameterAttributeEmbedding,ParameterAttribute
chemical dosage average,average,ParameterAttributeEmbedding,ParameterAttribute
chemical dosage std,std,ParameterAttributeEmbedding,ParameterAttribute
light exposure,name,ParameterAttributeEmbedding,ParameterAttribute
light exposure value,value,ParameterAttributeEmbedding,ParameterAttribute
light intensity unit,unit,ParameterAttributeEmbedding,ParameterAttribute
light exposure error,error,ParameterAttributeEmbedding,ParameterAttribute
light exposure average,average,ParameterAttributeEmbedding,ParameterAttribute
light exposure std,std,ParameterAttributeEmbedding,ParameterAttribute
cooling rate,name,ParameterAttributeEmbedding,ParameterAttribute
cooling rate value,value,ParameterAttributeEmbedding,ParameterAttribute
